,ActualElapsedTime,AirTime,ArrDelay,ArrTime,CRSArrTime,CRSDepTime,CRSElapsedTime,CancellationCode,Cancelled,CarrierDelay,DayOfWeek,DayofMonth,DepDelay,DepTime,Dest,Distance,Diverted,FlightNum,LateAircraftDelay,Month,NASDelay,Origin,SecurityDelay,TailNum,TaxiIn,TaxiOut,UniqueCarrier,WeatherDelay,Year
524205,151.0,100.0,75.0,2200.0,2045,1840,125.0,,0,0.0,4,13,49.0,1929.0,IAD,758.0,0,6,49.0,1,26.0,MCO,0.0,N805BR,34.0,17.0,DH,0.0,2005
524289,77.0,63.0,42.0,2052.0,2010,1845,85.0,,0,0.0,3,19,50.0,1935.0,IAD,321.0,0,1449,42.0,1,0.0,CLT,0.0,N703BR,4.0,9.0,DH,0.0,2005
524293,93.0,71.0,-19.0,726.0,745,600,105.0,,0,0.0,5,28,-7.0,553.0,IAD,413.0,0,803,0.0,1,0.0,BOS,0.0,N381UA,3.0,19.0,UA,0.0,2005
524305,154.0,116.0,-3.0,1551.0,1554,1320,154.0,,0,0.0,6,8,-3.0,1317.0,IAD,901.0,0,1544,0.0,1,0.0,FLL,0.0,N447UA,3.0,35.0,UA,0.0,2005
524374,146.0,106.0,25.0,918.0,853,645,128.0,,0,0.0,5,14,7.0,652.0,IAD,758.0,0,2,7.0,1,18.0,MCO,0.0,N803BR,10.0,29.0,DH,0.0,2005
524422,141.0,120.0,38.0,1901.0,1823,1549,154.0,,0,6.0,6,22,51.0,1640.0,IAD,921.0,0,2268,32.0,1,0.0,MIA,0.0,N430AA,6.0,15.0,AA,0.0,2005
524440,,,,,1505,1255,130.0,A,1,0.0,4,20,,,IAD,758.0,0,4,0.0,1,0.0,MCO,0.0,N803BR,0.0,0.0,DH,0.0,2005
524443,66.0,48.0,-24.0,1046.0,1110,955,75.0,,0,0.0,7,9,-15.0,940.0,IAD,289.0,0,1597,0.0,1,0.0,ROC,0.0,N633BR,3.0,15.0,DH,0.0,2005
524479,101.0,76.0,-8.0,2148.0,2156,2015,101.0,,0,0.0,2,4,-8.0,2007.0,IAD,413.0,0,1138,0.0,1,0.0,BOS,0.0,N631BR,6.0,18.0,DH,0.0,2005
524498,135.0,111.0,-9.0,1645.0,1654,1332,142.0,,0,0.0,1,3,-2.0,1330.0,IAD,908.0,0,1258,0.0,1,0.0,MSP,0.0,N922RW,9.0,15.0,NW,0.0,2005
524500,114.0,68.0,17.0,830.0,813,645,88.0,,0,0.0,4,20,-9.0,636.0,IAD,441.0,0,1611,0.0,1,17.0,CHS,0.0,N654BR,8.0,38.0,DH,0.0,2005
524503,159.0,129.0,59.0,1919.0,1820,1555,145.0,,0,0.0,3,19,45.0,1640.0,IAD,901.0,0,319,0.0,1,59.0,FLL,0.0,N589JB,16.0,14.0,B6,0.0,2005
524656,47.0,38.0,-18.0,1057.0,1115,1020,55.0,,0,0.0,5,21,-10.0,1010.0,IAD,157.0,0,1767,0.0,1,0.0,ORF,0.0,N687BR,4.0,4.0,DH,0.0,2005
524715,62.0,40.0,-2.0,1446.0,1448,1340,68.0,,0,0.0,5,14,4.0,1344.0,IAD,239.0,0,1776,0.0,1,0.0,GSO,0.0,N635BR,6.0,15.0,DH,0.0,2005
524719,81.0,62.0,-9.0,1810.0,1819,1650,89.0,,0,0.0,2,4,-1.0,1649.0,IAD,383.0,0,1827,0.0,1,0.0,DTW,0.0,N622BR,9.0,10.0,DH,0.0,2005
524744,277.0,439.0,-10.0,1545.0,1555,810,285.0,,0,0.0,3,26,-2.0,808.0,IAD,2277.0,0,304,0.0,1,0.0,LGB,0.0,N570JB,8.0,10.0,B6,0.0,2005
524754,74.0,43.0,-18.0,1633.0,1651,1535,76.0,,0,0.0,6,29,-16.0,1519.0,IAD,299.0,0,1485,0.0,1,0.0,CMH,0.0,N639BR,8.0,22.0,DH,0.0,2005
524872,75.0,54.0,15.0,1250.0,1235,1110,85.0,,0,0.0,7,16,25.0,1135.0,IAD,383.0,0,1859,15.0,1,0.0,GSP,0.0,N678BR,8.0,13.0,DH,0.0,2005
524961,74.0,49.0,34.0,804.0,730,615,75.0,,0,0.0,6,22,35.0,650.0,IAD,213.0,0,1001,34.0,1,0.0,EWR,0.0,N645BR,4.0,20.0,DH,0.0,2005
525029,58.0,37.0,-14.0,1615.0,1629,1520,69.0,,0,0.0,4,13,-3.0,1517.0,IAD,157.0,0,1770,0.0,1,0.0,ORF,0.0,N654BR,8.0,13.0,DH,0.0,2005
525045,117.0,88.0,8.0,2052.0,2044,1905,99.0,,0,0.0,2,11,-10.0,1855.0,IAD,494.0,0,1271,0.0,1,0.0,PWM,0.0,N694BR,8.0,21.0,DH,0.0,2005
525108,,,,,1618,835,283.0,,0,0.0,1,24,5.0,840.0,IAD,2288.0,1,76,0.0,1,0.0,LAX,0.0,N3CUAA,0.0,15.0,AA,0.0,2005
